,id,title,views,evaluation,evaluation_tmdb,release_date,genre_ids,diff
287,119450,Dawn of the Planet of the Apes,1,8.3,7.3,2014-06-26,"[878, 28, 18, 53]",1.0000000000000009
288,924,Dawn of the Dead,1,7.6,7.0,2004-03-19,"[28, 27]",0.5999999999999996
289,265297,The Salt of the Earth,1,8.3,8.2,2014-09-27,[99],0.10000000000000142
290,164,Breakfast at Tiffany's,1,8.5,7.7,1961-10-06,"[35, 18, 10749]",0.7999999999999998
291,85350,Boyhood,1,7.0,7.5,2014-06-05,[18],-0.5
292,337674,Elle,1,7.6,6.6,2016-05-25,"[18, 53]",1.0
293,588009,Adú,1,6.7,7.2,2020-01-31,[18],-0.5
294,28,Apocalypse Now,1,9.8,8.3,1979-08-15,"[18, 10752]",1.5
295,29453,The Magician,1,7.8,7.5,1958-12-26,[18],0.2999999999999998
296,300668,Annihilation,1,7.9,6.3,2018-02-22,"[878, 27]",1.6000000000000005
297,216,Ali: Fear Eats the Soul,1,8.3,7.8,1974-06-05,"[10749, 18]",0.5000000000000009
298,8699,Anchorman: The Legend of Ron Burgundy,1,6.9,6.7,2004-07-09,[35],0.20000000000000018
299,679,Aliens,1,9.5,7.9,1986-07-18,"[28, 53, 878]",1.5999999999999996
300,8078,Alien Resurrection,1,7.3,6.1,1997-11-12,"[878, 27, 28]",1.2000000000000002
301,126889,Alien: Covenant,1,7.1,6.0,2017-05-09,"[27, 878]",1.0999999999999996
302,8077,Alien³,1,9.1,6.3,1992-05-22,"[878, 28, 27]",2.8
303,813,Airplane!,1,7.5,7.3,1980-07-02,[35],0.20000000000000018
304,419704,Ad Astra,1,7.3,6.1,2019-09-17,"[878, 18]",1.2000000000000002
305,478417,Arthur & Claire,1,7.0,7.6,2017-09-25,"[35, 18]",-0.5999999999999996
306,447332,A Quiet Place,1,7.0,7.3,2018-04-03,"[27, 18, 878]",-0.2999999999999998
307,403300,A Hidden Life,1,8.8,7.2,2019-12-11,"[18, 36, 10752]",1.6000000000000005
308,623,A Fish Called Wanda,1,8.9,7.2,1988-07-15,"[35, 80]",1.7000000000000002
309,453,A Beautiful Mind,1,9.0,7.8,2001-12-11,"[18, 10749]",1.2000000000000002
310,546487,Beautiful Days,1,7.4,8.6,2018-11-21,[18],-1.1999999999999993
311,65,8 Mile,1,7.0,7.1,2002-11-08,"[18, 10402]",-0.09999999999999964
312,53182,300: Rise of an Empire,1,7.0,6.1,2014-03-05,"[28, 18]",0.9000000000000004
313,1271,300,1,8.5,7.1,2006-12-09,"[28, 12, 10752]",1.4000000000000004
314,530915,1917,1,8.0,7.9,2019-12-25,"[10752, 18, 28]",0.09999999999999964
315,44115,127 Hours,1,7.7,7.0,2010-11-05,"[12, 18, 53]",0.7000000000000002
316,329865,Arrival,1,8.0,7.5,2016-11-10,"[18, 878, 9648]",0.5
317,9318,Asterix in Britain,1,7.2,6.6,1986-12-03,"[10751, 16, 12, 35]",0.6000000000000005
319,446159,Bacurau,1,7.9,8.0,2019-08-29,"[9648, 37, 53]",-0.09999999999999964
320,525,The Blues Brothers,1,7.9,7.7,1980-06-16,"[10402, 35, 28, 80]",0.20000000000000018
321,78,Blade Runner,1,9.1,7.9,1982-06-25,"[878, 18, 53]",1.1999999999999993
322,78,Blade Runner,1,9.4,7.9,1982-06-25,"[878, 18, 53]",1.5
323,487558,BlacKkKlansman,1,8.5,7.6,2018-07-30,"[80, 18, 36, 35]",0.9000000000000004
324,569547,Black Mirror: Bandersnatch,1,7.3,6.9,2018-12-28,"[18, 9648, 878, 53, 10770]",0.39999999999999947
325,405774,Bird Box,1,4.1,6.9,2018-12-13,"[53, 18, 878]",-2.8000000000000007
326,582903,Echo,1,7.4,6.5,2019-08-11,[18],0.9000000000000004
327,1987,Benny's Video,1,7.2,7.2,1993-03-04,"[80, 18, 27]",0.0
328,209112,Batman v Superman: Dawn of Justice,1,8.1,5.9,2016-03-23,"[28, 12, 14]",2.1999999999999993
329,272,Batman Begins,1,7.9,7.7,2005-06-10,"[28, 80, 18]",0.20000000000000018
330,165,Back to the Future Part II,1,9.0,7.7,1989-11-22,"[12, 35, 10751, 878]",1.2999999999999998
331,491472,At Eternity's Gate,1,7.6,6.9,2018-11-15,[18],0.6999999999999993
332,105,Back to the Future,1,9.6,8.3,1985-07-03,"[12, 35, 878, 10751]",1.299999999999999
333,339403,Baby Driver,1,6.5,7.5,2017-06-28,"[28, 80]",-1.0
334,299536,Avengers: Infinity War,1,9.5,8.3,2018-04-25,"[12, 28, 878]",1.1999999999999993
335,299536,Avengers: Infinity War,1,9.0,8.3,2018-04-25,"[12, 28, 878]",0.6999999999999993
336,299534,Avengers: Endgame,1,8.3,8.3,2019-04-24,"[12, 878, 28]",0.0
337,299534,Avengers: Endgame,1,5.9,8.3,2019-04-24,"[12, 878, 28]",-2.4000000000000004
338,453354,Ava,1,7.2,6.1,2017-06-21,[18],1.1000000000000005
339,269,Breathless,1,7.6,7.7,1960-03-16,"[18, 80]",-0.10000000000000053
340,423646,In the Fade,1,8.5,7.0,2017-11-23,"[18, 80]",1.5
341,20108,Au Hasard Balthazar,1,7.5,7.8,1966-05-25,[18],-0.2999999999999998
342,619264,The Platform,1,7.4,7.0,2019-11-08,"[18, 878, 53]",0.40000000000000036
343,42602,The Passion of Anna,1,8.2,7.5,1969-11-10,[18],0.6999999999999993
344,387426,Okja,1,8.1,7.5,2017-06-28,"[12, 18, 878, 28]",0.5999999999999996
345,773,Little Miss Sunshine,1,8.5,7.6,2006-07-26,"[35, 18]",0.9000000000000004
346,24631,"Maria, ihm schmeckt's nicht!",1,6.0,6.0,2009-08-05,[35],0.0
347,382127,Manifesto,1,6.7,7.3,2015-10-28,[18],-0.5999999999999996
348,334541,Manchester by the Sea,1,8.3,7.5,2016-11-18,[18],0.8000000000000007
349,505192,Shoplifters,1,6.8,7.9,2018-06-02,"[18, 80]",-1.1000000000000005
350,49521,Man of Steel,1,8.0,6.5,2013-06-12,"[28, 12, 14, 878]",1.5
351,399170,Logan Lucky,1,6.1,6.7,2017-08-17,"[28, 35, 80, 18]",-0.6000000000000005
352,371447,Lovesong,1,6.0,5.7,2017-02-17,"[18, 10749]",0.2999999999999998
353,271714,Love & Mercy,1,8.0,7.2,2015-05-29,"[18, 10402]",0.7999999999999998
354,409520,Lommbock,1,7.9,6.9,2017-03-23,[35],1.0
355,263115,Logan,1,7.0,7.8,2017-02-28,"[28, 18, 878]",-0.7999999999999998
356,390,Lisbon Story,1,6.0,7.4,1994-12-16,[18],-1.4000000000000004
357,77,Memento,1,8.8,8.2,2000-10-11,"[9648, 53]",0.6000000000000014
358,583,Life of Brian,1,7.8,7.8,1979-08-17,[35],0.0
359,586863,Les Misérables,1,7.6,7.7,2019-11-14,"[80, 18, 53]",-0.10000000000000053
360,330764,The Brand New Testament,1,6.0,6.7,2015-09-02,"[35, 18, 14]",-0.7000000000000002
361,50785,Le Petit Soldat,1,7.7,7.0,1963-01-25,"[18, 10752]",0.7000000000000002
362,391713,Lady Bird,1,7.0,7.3,2017-09-08,"[18, 35]",-0.2999999999999998
363,179144,The Great Beauty,1,6.5,7.5,2013-05-21,[18],-1.0
364,405,La Strada,1,7.3,8.0,1954-09-23,[18],-0.7000000000000002
365,63311,The Skin I Live In,1,7.9,7.5,2011-08-17,"[18, 53, 9648]",0.40000000000000036
366,313369,La La Land,1,8.3,7.9,2016-11-29,"[35, 18, 10749, 10402]",0.40000000000000036
367,89681,The Hour of the Furnaces,1,6.0,6.4,1968-09-08,[99],-0.40000000000000036
368,603,The Matrix,1,10.0,8.1,1999-03-30,"[28, 878]",1.9000000000000004
369,11423,Memories of Murder,1,7.9,8.1,2003-05-02,"[80, 18, 53]",-0.1999999999999993
370,64689,Killing Them Softly,1,3.2,6.0,2012-07-30,"[80, 53]",-2.8
371,60243,A Separation,1,8.2,8.0,2011-03-15,[18],0.1999999999999993
372,72721,Nostalgia for the Light,1,7.3,7.6,2010-10-27,[99],-0.2999999999999998
373,653,Nosferatu,1,6.5,7.7,1922-02-17,"[18, 14, 27]",-1.2000000000000002
374,522637,"Nona. If They Soak Me, I'll Burn Them",1,5.7,6.3,2019-01-29,[18],-0.5999999999999996
375,340666,Nocturnal Animals,1,7.2,7.4,2016-11-04,"[18, 53]",-0.20000000000000018
376,86834,Noah,1,7.9,5.6,2014-03-07,"[18, 12]",2.3000000000000007
377,6977,No Country for Old Men,1,8.9,7.9,2007-11-08,"[80, 18, 53]",1.0
378,339,Night on Earth,1,8.3,7.5,1991-12-12,"[35, 18]",0.8000000000000007
379,29455,Winter Light,1,7.6,7.9,1963-02-11,[18],-0.3000000000000007
380,8193,Napoleon Dynamite,1,7.7,6.8,2004-06-11,[35],0.9000000000000004
381,2742,Naked Lunch,1,7.2,7.0,1991-12-27,"[80, 18]",0.20000000000000018
382,19913,(500) Days of Summer,1,7.5,7.2,2009-07-17,"[35, 18, 10749]",0.2999999999999998
383,19,Metropolis,1,7.0,8.2,1927-03-06,"[18, 878]",-1.1999999999999993
384,1018,Mulholland Drive,1,9.5,7.9,2001-09-08,"[53, 18, 9648]",1.5999999999999996
385,381283,mother!,1,7.4,7.0,2017-09-13,"[18, 27, 9648]",0.40000000000000036
386,376867,Moonlight,1,7.4,7.4,2016-10-21,[18],0.0
387,417466,Monos,1,8.0,6.8,2019-09-05,"[18, 53]",1.2000000000000002
